Name of Location (if applicable),Address,City,State,Zipcode,(Sub Categories: School & Family),Full Address,Longitude,Latitude
Journey Academy,"1800 Gravenstein Hwy N, Sebastopol, CA 95472",Sebastopol,CA,95472,School Shows,"1800 Gravenstein Hwy N, Sebastopol, CA 95472 Sebastopol CA",-122.8473679,38.4224545
Santa Rosa French-American Charter School,"1350 Sonoma Ave, Sonoma, CA 95405",Sonoma,CA,95405,School Shows,"1350 Sonoma Ave, Sonoma, CA 95405 Sonoma CA",-122.6966501,38.4413615
Pivot Online Charter School - North Bay,"2999 Cleveland Ave Ste D, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"2999 Cleveland Ave Ste D, Santa Rosa, CA 95403 Santa Rosa CA",-122.7520139,38.4739555
Piner-Olivet Charter School,"2707 Francisco Ave, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"2707 Francisco Ave, Santa Rosa, CA 95403 Santa Rosa CA",-122.7650564,38.4798227
New Horizon School and Learning Center,"827 3rd St, Santa Rosa, CA 95404",Santa Rosa,CA,95404,School Shows,"827 3rd St, Santa Rosa, CA 95404 Santa Rosa CA",-122.7094305,38.4417215
Windsor Middle School,"9500 Brooks Rd S, Windsor, CA 95492",Windsor,CA,95492,School Shows,"9500 Brooks Rd S, Windsor, CA 95492 Windsor CA",-122.806422,38.5579244
Healdsburg High School,"1024 Prince Ave, Healdsburg, CA 95448",Healdsburg,CA,95448,School Shows,"1024 Prince Ave, Healdsburg, CA 95448 Healdsburg CA",-122.8673967,38.6223606
The Spring Hill School,"825 Middlefield Dr, Petaluma, CA 94952",Petaluma,CA,94952,School Shows,"825 Middlefield Dr, Petaluma, CA 94952 Petaluma CA",-122.6239922,38.2240703
Park Side Elementary School,"7450 Bodega Ave, Sebastopol, CA 95472",Sebastopol,CA,95472,School Shows,"7450 Bodega Ave, Sebastopol, CA 95472 Sebastopol CA",-122.8299574,38.4003655
Lawrence Jones Middle School,"5154 Snyder Ln, Rohnert Park, CA 94928",Rohnert Park,CA,94928,School Shows,"5154 Snyder Ln, Rohnert Park, CA 94928 Rohnert Park CA",-122.6836995,38.3538657
Ridgway High School,"325 Ridgway Ave, Santa Rosa, CA 95401",Santa Rosa,CA,95401,School Shows,"325 Ridgway Ave, Santa Rosa, CA 95401 Santa Rosa CA",-122.7224388,38.4496895
Proctor Terrace Elementary School,"1711 Bryden Ln, Santa Rosa, CA 95404",Santa Rosa,CA,95404,School Shows,"1711 Bryden Ln, Santa Rosa, CA 95404 Santa Rosa CA",-122.697312,38.451937
Elsie Allen High School,"599 Bellevue Ave, Santa Rosa, CA 95407",Santa Rosa,CA,95407,School Shows,"599 Bellevue Ave, Santa Rosa, CA 95407 Santa Rosa CA",-122.7343714,38.4047185
Live Oak Charter School,"100 Gnoss Concourse, Bldg 1, Petaluma, CA 94952",Petaluma,CA,94952,School Shows,"100 Gnoss Concourse, Bldg 1, Petaluma, CA 94952 Petaluma CA",-122.627558,38.240567
Mary Collins Elementary School at Cherry Valley,"1001 Cherry St, Petaluma, CA 94952",Petaluma,CA,94952,School Shows,"1001 Cherry St, Petaluma, CA 94952 Petaluma CA",-122.6548317,38.2431797
Willowside Middle School,"5285 Hall Rd, Santa Rosa, CA 95401",Santa Rosa,CA,95401,School Shows,"5285 Hall Rd, Santa Rosa, CA 95401 Santa Rosa CA",-122.8054963,38.4384654
